Title,Keyword,Growth (Max Reach),Max. Reach,Volume,No. of results,Difficulty
Photo & Video,تحديث انستغرام,278%,278.0,31,199,99
Business,botim app,6%,40.0,14,241,99
Shopping,best app,7%,130.0,16,236,99
Food & Drink,chik fil a,239%,41551.0,60,182,97
Entertainment,interesting,406%,2561.0,41,176,96
Food & Drink,pizza hut app,195%,795.0,30,127,96
Food & Drink,kfc rewards,196%,5966.0,46,203,96
Food & Drink,pizza hut,97%,376022.0,73,185,96
Food & Drink,chick fil a app,239%,771794.0,82,206,96
Travel,south west airlines,0%,33.0,13,209,95
Food & Drink,chick fil a,288%,51224.0,62,217,94
Food & Drink,chick fil,347%,792.0,33,222,94
Food & Drink,chick fa la,638%,358.0,29,163,94
Food & Drink,chick fila,198%,2176.0,38,208,94
Food & Drink,chic fil a,197%,5939.0,45,197,92
Food & Drink,chickfila,196%,17916.0,54,220,91
Food & Drink,target circle app,13%,129.0,19,214,91
Food & Drink,chick fli a,483%,93371.0,68,202,89
Productivity,grok 4,"5,026%",13585.0,54,189,88
Productivity,grok4,393%,2881.0,44,188,88
Travel,famous app,57%,236.0,21,238,87
News,free social apps,5%,66.0,13,236,86
Food & Drink,cassapp,29%,197.0,18,243,86
Business,online shop,7%,98.0,14,228,85
Food & Drink,ross,126%,15868.0,52,164,85
Food & Drink,chcikfila,465%,898.0,33,200,84
Food & Drink,chick fill a,678%,497.0,31,178,84
Food & Drink,chic filet,6%,50.0,13,112,82
Travel,traveling apps,38%,234.0,16,237,82
Productivity,black box ai,17%,91.0,21,232,81
Shopping,sportswear,7%,88.0,15,216,81
Business,uber rider,17%,124.0,14,221,80
Shopping,i am your beast,241%,2133.0,36,19,79
Shopping,hobby lobby stores,9%,113.0,16,197,79
Food & Drink,chich fil a,10%,59.0,16,206,79
Photo & Video,new tiktok,22%,294.0,23,183,78
Productivity,xai grok,350%,1427.0,36,66,77
Photo & Video,تحديث بوبجي,771%,9482.0,47,214,77
Business,doordash inc,6%,93.0,13,244,76
Shopping,cotton on,483%,23902.0,57,225,76
Photo & Video,enzona,406%,1593.0,37,150,76
Utilities,همراه بانک شهر پلاس,7%,67.0,15,4,75
Social Networking,capcut update,8%,63.0,16,223,75
Business,instagram shop,0%,55.0,13,170,75
Food & Drink,dashpass,73%,1491.0,33,213,72
Travel,travigo,150%,269.0,23,114,71
News,grom,160%,1827.0,36,224,71
Shopping,shop clothes,7%,62.0,14,243,71
Food & Drink,bjs app,6%,64.0,13,221,71
Entertainment,free movie hd,8%,123.0,15,234,70
Shopping,urban planet,679%,1029.0,38,188,70
Lifestyle,best dating app,8%,94.0,14,216,70
Magazines & Newspapers,movie box 2,9%,87.0,16,211,69
Finance,coinbase advanced trade,8%,54.0,16,230,69
Productivity,x grok,0%,,15,237,68
Entertainment,disney channel,288%,8809.0,47,165,68
Social Networking,men tea app,12%,203.0,18,217,68
Productivity,iphone free vpn,8%,135.0,15,230,68
Entertainment,minidrama,43%,312.0,28,236,68
Shopping,general dollar,-12%,109.0,14,223,68
Shopping,safora,178%,471.0,23,214,68
Shopping,shoe shopping,7%,60.0,16,219,68
Medical,meijer pharmacy,344%,16589.0,50,175,67
Travel,flight hopper,6%,32.0,13,206,67
Graphics & Design,app to edit pictures,6%,60.0,14,232,67
Shopping,culture kings,287%,12176.0,51,202,67
Finance,money transfer app,11%,119.0,18,237,66
Food & Drink,happy meal app,0%,55.0,13,209,66
Lifestyle,girl dating,0%,121.0,14,227,66
Photo & Video,wavve,904%,4830.0,48,150,65
Finance,instant cash loans,10%,96.0,16,203,65
Productivity,جی پی تی,333%,415.0,24,12,65
Photo & Video,tiktok notes,11%,141.0,17,192,64
News,free podcast app,0%,27.0,14,239,64
Finance,cyrpto,7%,36.0,15,240,64
Travel,home rentals,0%,74.0,13,224,64
Lifestyle,monkey chat app,9%,186.0,15,188,64
Food & Drink,citi costco app,0%,66.0,13,225,63
Entertainment,moviehd,13%,179.0,19,211,63
Entertainment,hbomax com tvsignin,383%,265.0,25,220,63
Finance,bitvavo,17%,93.0,16,237,63
Finance,bittrex,7%,131.0,16,219,63
Social Networking,online talking,7%,174.0,16,193,63
Social Networking,games you can play with your friends,10%,58.0,16,227,63
Productivity,grok by xai,18%,151.0,20,65,62
Business,spark now,8%,84.0,15,121,62
Magazines & Newspapers,moviebox for iphone,70%,1015.0,29,202,62
Finance,amazon prime visa,7%,83.0,15,225,62
Entertainment,the cw app free,344%,14125.0,54,200,62
Productivity,vpn llc us,0%,43.0,18,217,61
Finance,cypto,0%,,15,237,61
Utilities,free clear app,8%,66.0,14,242,61
Education,ava the 3d doll,289%,7952.0,46,230,60
Entertainment,mini drama,45%,359.0,28,232,60
Productivity,ai grok,13%,71.0,20,233,60
Travel,hotel now,0%,31.0,15,223,60
Entertainment,prime tv remote,8%,61.0,16,229,59
Education,fun free games for adults,344%,651.0,27,219,59
Lifestyle,home for rent,6%,56.0,14,215,58
Social Networking,snap it,471%,939.0,40,203,58
Productivity,free ios vpn,10%,60.0,17,228,58
Productivity,entries ai,18%,189.0,21,237,58
Food & Drink,code moo,"2,672%",9454.0,57,231,58
Lifestyle,lgbtq dating apps,11%,224.0,18,221,58
Shopping,47 brand,83%,185.0,16,211,58
Magazines & Newspapers,galateatv,90%,403.0,23,222,58
Travel,buking,6%,84.0,13,241,57
Utilities,free mexico vpn,6%,46.0,14,218,57
Music,playlists,7%,110.0,14,200,57
