Keyword,Growth (Max Reach),Max. Reach,Volume,No. of results,Difficulty
audiobook summaries,18%,73,20,203,2
reading apps kids,550%,586,29,164,1
story downloader,267%,421,26,184,26
fresh books,80%,175,16,147,1
thebiblechat,9%,60,16,237,37
yaoi manga,8%,69,16,187,7
amazon audible books,7%,74,15,205,42
free kindle app,7%,63,15,240,48
anime nyc,233%,239,22,201,3
free kids bible,7%,68,14,229,7
free podcast app,0%,27,14,239,64
aldiko,7%,83,14,12,2
this american life,0%,164,14,31,0
free childrens books,7%,98,14,239,1
readingcom,7%,64,14,227,2
mp3 audiobook player,7%,89,14,225,23
free audible app,6%,55,14,240,37
the bible king james version,6%,76,13,214,9
daily audio bible mobile app,7%,87,13,210,29
joyce meyer,6%,32,13,39,6
instuner free,0%,55,13,220,4
sách,6%,103,13,208,0
tiny book shop,6%,89,13,199,30
webs,6%,52,13,185,20
homestuck,6%,46,13,12,9
grom,160%,1827,36,224,71
read comics,6%,91,13,189,8
after dark,6%,80,13,209,11
livros,6%,32,13,181,31
free stories,6%,114,13,240,30
storyfont,161%,1534,32,184,1
blb bible,158%,5088,40,225,30
dc comics,125%,5148,43,131,25
ani,97%,2232,37,204,17
dc universe infinite,96%,3796,40,138,17
listen to books,114%,257,21,212,55
galateatv,90%,403,23,222,58
amazon kindle app,89%,322,22,225,55
audio reader,100%,800,23,234,19
kids reading app,96%,1065,30,215,4
web novel,97%,1341,30,232,25
reading apps for kids for free,96%,1994,34,222,4
keepa,96%,4540,39,228,20
dc universe online,38%,296,18,184,29
macarthur study bible,122%,311,22,215,16
john macarthur study bible,100%,339,23,215,17
through the bible,15%,1376,28,221,12
making space,125%,392,20,196,11
jkanime,69%,471,23,215,24
free reading apps for kids,72%,2328,34,223,4
