Keyword,Growth (Max Reach),Max. Reach,Volume,No. of results,Difficulty
ca dmv permit test,74%,462,33,217,6
my backpack,31%,189,24,53,4
ai school helper,0%,68,23,239,15
campus parent portal,817%,621,31,217,7
parents square,13%,118,22,207,16
iago learn japanese,20%,359,21,224,3
reading apps kids,550%,586,29,164,1
back to school,12%,90,18,168,9
speak pal,10%,105,18,225,5
ap college board,13%,146,18,162,0
ava the 3d doll,289%,7952,46,230,60
perusall,11%,212,17,209,5
ap classroom,482%,6042,41,197,2
flocabulary,317%,277,25,201,15
nerdish,10%,51,17,49,14
identify mushrooms,10%,86,17,201,4
georgia drivers license,10%,173,17,234,2
free trivia games for adults,196%,1454,32,217,29
abckids,9%,58,16,204,1
study island,10%,45,16,230,21
fun free games for adults,344%,651,27,219,59
free fun games for girls,122%,382,24,241,34
luvnotes,8%,91,16,224,16
fall games,8%,55,16,192,44
planta passport,7%,127,16,242,23
learning korean,9%,124,16,209,3
fluentika,8%,62,16,244,3
unrulr,10%,117,16,226,0
mushroom identification,8%,43,16,203,0
infinite campus parent portal,242%,1566,36,216,18
learn turkish,354%,535,30,196,7
kids game free,290%,643,27,244,23
language learning game for toddlers,0%,32,15,240,0
crehana,0%,32,15,28,15
vccs,7%,88,15,194,34
callannie,8%,73,15,74,22
preschool games for kids,8%,132,15,244,8
peppa pig games for free,6%,57,15,181,28
fun games for adults,200%,1082,30,242,36
infinite campus student,275%,449,25,211,11
free vocabulary app,8%,112,15,246,11
really fun games for girls free,7%,37,15,243,37
toddler games for 4 year olds free,96%,917,33,245,11
labubu world,291%,4249,43,38,44
ohio temps test,7%,83,14,186,8
rqs focus,7%,38,14,191,7
my ap classroom,8%,101,14,183,0
deutsch lernen,17%,66,14,199,0
flower checker,8%,169,14,190,13
fun brain,6%,59,14,229,35
