Keyword,Growth (Max Reach),Max. Reach,Volume,No. of results,Difficulty
tele tv,61%,326,30,225,27
minidrama,43%,312,28,236,68
mini drama,45%,359,28,232,60
cwtv,26%,166,25,204,18
aı girls,"1,215%",6395,50,210,5
ai girls,"1,221%",5994,50,200,15
teletv,25%,158,24,231,28
new tiktok,22%,294,23,183,78
wavve,904%,4830,48,150,65
entries ai,18%,189,21,237,58
tv express,15%,135,20,216,24
moviehd,13%,179,19,211,63
movie box app,12%,91,19,226,37
mtv app,13%,174,19,206,34
caliente tv,12%,133,19,219,26
koupon ai,565%,12385,48,231,46
the cw app free,344%,14125,54,200,62
super ai,11%,157,18,223,18
the open tickets,340%,740,33,217,50
amazon rewards,10%,119,17,213,30
interesting,406%,2561,41,176,96
botchat,9%,96,16,205,40
live sport tv,10%,58,16,223,33
ai girlfriend nsfw,10%,162,16,190,3
cbs all access,10%,56,16,162,41
prime tv remote,8%,61,16,229,59
tv azteca deportes en vivo,10%,214,16,197,38
descargador de videos gratis,329%,352,25,212,10
waave,343%,676,30,36,27
hbomax com tvsignin,383%,265,25,220,63
ploy buzz,239%,4243,40,70,55
best app,7%,130,16,236,99
movie box 2,9%,87,16,211,69
pocket tv,10%,78,16,219,51
disney channel,288%,8809,47,165,68
free movie hd,8%,123,15,234,70
ai social,8%,74,15,223,18
youtube alternative,0%,32,15,187,24
aigirl,8%,122,15,216,11
drogontv,9%,58,15,236,44
tv smart player free,300%,1217,30,237,19
独播库,255%,476,28,152,9
ruku tv remote free,159%,4814,42,236,46
metaquest mobile app,229%,726,28,192,45
ted lasso,8%,49,15,229,49
pro tv,8%,106,15,227,37
anichat,150%,357,26,215,30
movies2watch,198%,2937,37,229,39
cw app,193%,1057,33,178,57
shameless,343%,266,24,240,32
