Keyword,Growth (Max Reach),Max. Reach,Volume,No. of results,Difficulty
code moo,"2,672%",9454,57,231,58
chick fil a game,230%,1077,39,190,43
chick fil a play,"2,875%",8299,55,209,36
chickfilla,26%,143,24,215,50
chick fill a,678%,497,31,178,84
target circle app,13%,129,19,214,91
chick fa la,638%,358,29,163,94
chick fli a,483%,93371,68,202,89
chick fil a inc,345%,4858,46,220,49
chick fil a one,400%,940,34,207,55
free instant pot app,10%,69,17,216,16
philly pretzel factory,342%,1656,38,133,38
chcikfila,465%,898,33,200,84
chick fil,347%,792,33,222,94
chich fil a,10%,59,16,206,79
best app,7%,130,16,236,99
food book,11%,49,16,210,37
mcdonalds game,343%,1978,33,218,36
spark now,8%,84,15,121,62
kfc barbados,0%,33,14,218,1
instamart 10 mins grocery app,7%,45,14,210,0
bood,7%,36,14,237,28
chick fil a app,239%,771794,82,206,96
chick fil a,288%,51224,62,217,94
chik fil a,239%,41551,60,182,97
chick,240%,,45,142,39
buffalo wild,6%,89,14,170,39
citi costco app,0%,66,13,225,63
happy meal app,0%,55,13,209,66
麦当劳香港,6%,43,13,36,19
free fasting apps,6%,43,13,249,7
bjs app,6%,64,13,221,71
chickfila,196%,17916,54,220,91
kfc rewards,196%,5966,46,203,96
chic fil a,197%,5939,45,197,92
chic filet,6%,50,13,112,82
doordash inc,6%,93,13,244,76
delta kim,6%,128,13,50,7
pizza hut app,195%,795,30,127,96
chick fila,198%,2176,38,208,94
flower delivery,158%,472,25,204,12
ross,126%,15868,52,164,85
7 11,158%,29765,55,182,33
famous app,57%,236,21,238,87
snap food stamps,122%,721,27,226,36
dashpass,73%,1491,33,213,72
dash app,123%,468,25,217,41
mcdonalds pos,15%,680,24,218,0
cassapp,29%,197,18,243,86
pizza hut,97%,376022,73,185,96
