Keyword,Growth (Max Reach),Max. Reach,Volume,No. of results,Difficulty
aspire news,26%,176,23,236,30
ny2la,16%,210,21,91,9
storyful,15%,226,20,207,30
moviehd,13%,179,19,211,63
movie box app,12%,91,19,226,37
austin news,15%,331,19,226,13
immersive,11%,196,18,190,0
tech crunch,10%,183,18,160,19
the free press,-24%,3587,47,215,29
speech to text voice to text,8%,150,16,224,8
9 news app,9%,84,16,234,10
movie box 2,9%,87,16,211,69
yaoi manga,8%,69,16,187,7
my chemical romance,6%,70,15,209,24
serial reader,7%,55,15,223,6
cbs sunday morning,-61%,246,15,174,28
economic,8%,89,15,153,20
free kindle app,7%,63,15,240,48
movies2watch,198%,2937,37,229,39
barron’s investing insights,7%,80,14,220,12
newsbang,6%,79,14,218,20
market news,8%,26,14,211,20
abc action news,7%,84,14,230,20
free stories,6%,114,13,240,30
text to speech app,6%,76,13,237,9
livros,6%,32,13,181,31
scary stories texting story,6%,38,13,184,0
webs,6%,52,13,185,20
read comics,6%,91,13,189,8
bbc sports,6%,106,13,207,13
news explorer,6%,39,13,200,25
the economist podcast,6%,81,13,187,23
after dark,6%,80,13,209,11
nyt connections game,200%,816,28,213,30
moviebox free,71%,1439,31,225,39
galateatv,90%,403,23,222,58
listen to books,114%,257,21,212,55
amazon kindle app,89%,322,22,225,55
bbc sounds,72%,4237,39,207,14
watched,100%,1117,30,211,32
web novel,97%,1341,30,232,25
moviebox for iphone,70%,1015,29,202,62
wkyt news,113%,281,21,242,2
蛋仔派对,50%,22302,50,204,52
bbc iplayer,31%,13741,46,233,45
bbc sport,76%,1026,28,213,12
flixtools box,48%,807,27,128,43
kmanga,67%,541,24,175,16
news1414,53%,509,23,199,5
blindspot,67%,235,20,70,33
