Keyword,Growth (Max Reach),Max. Reach,Volume,No. of results,Difficulty
hi mommy,0%,102,20,217,8
contracciones,9%,57,17,179,4
sleeper app,9%,73,17,225,31
diabetes log,10%,116,16,219,1
meijer pharmacy,344%,16589,50,175,67
myhealth online,10%,63,16,209,27
snuggly baby heartbeat listen,9%,210,15,235,6
tarp,9%,42,15,195,4
baby sleep trainer,7%,81,15,230,7
commonspirit health,71%,1776,34,190,11
mom and baby,7%,95,15,207,5
wonderweeks,190%,410,24,172,4
smart sleep coach by pampers,183%,656,26,205,23
weeks,0%,29,14,154,9
abbot,6%,50,14,109,8
cubtale,7%,42,14,179,3
due date countdown,6%,37,14,224,17
my connection,7%,135,14,200,0
kyla health,0%,41,14,229,5
my com,0%,28,14,218,6
pregnancy scanner,7%,103,14,222,0
pathways org baby milestones,7%,107,14,190,2
usmle rx,6%,65,13,179,0
babie,0%,43,13,206,17
my procare,6%,59,13,199,14
bby,189%,399,24,174,49
baby size,6%,69,13,210,16
access health,6%,38,13,217,25
pamf,0%,50,13,218,3
baby tracking,6%,43,13,220,19
livehealth,0%,40,13,208,8
healthcare app,7%,52,13,240,37
preg,6%,45,13,217,18
dr berg app,159%,1081,28,196,8
diabetic log,114%,271,20,226,1
rightway healthcare,124%,1908,33,217,5
meagain glp 1 all in one app,31%,3573,37,228,7
pampers sleep coach,100%,452,23,220,15
mobile health,82%,378,23,214,15
simple practice clinician app,73%,3747,40,176,13
on my way,100%,1401,31,187,12
und,29%,152,18,222,1
my health planner,86%,294,19,221,4
cigna envoy,71%,646,25,52,0
my patient portal,33%,290,20,213,30
freestyle libre link,63%,205,19,170,8
c s,50%,170,16,228,36
smart coupons,33%,220,16,213,42
aarp safetrip,11%,136,17,229,39
the wonder weeks,14%,22748,50,168,4
