Keyword,Growth (Max Reach),Max. Reach,Volume,No. of results,Difficulty
redgifs app,348%,4381,41,198,55
aspire news,26%,176,23,236,30
ny2la,16%,210,21,91,9
storyful,15%,226,20,207,30
austin news,15%,331,19,226,13
noaa radio,13%,204,19,232,37
local 10 news,13%,74,19,241,1
texas news,13%,172,19,211,3
tech crunch,10%,183,18,160,19
the free press,-24%,3587,47,215,29
9 news app,9%,84,16,234,10
cbs all access,10%,56,16,162,41
wildfires,0%,33,15,183,19
ai social,8%,74,15,223,18
nbcdfw,9%,198,15,60,12
verify doppelganger,8%,49,15,222,31
free adult video chat,193%,840,28,166,8
economic,8%,89,15,153,20
crime near me,8%,183,15,188,48
cbs sunday morning,-61%,246,15,174,28
free podcast app,0%,27,14,239,64
market news,8%,26,14,211,20
abc action news,7%,84,14,230,20
newsbang,6%,79,14,218,20
acquired podcast,263%,273,25,198,23
crime radar,200%,544,30,205,33
free audible app,6%,55,14,240,37
fox 29,6%,99,14,193,21
ted talks daily,17%,138,14,142,8
barron’s investing insights,7%,80,14,220,12
christian podcast,6%,39,14,227,3
watch market,8%,227,14,225,3
grom,160%,1827,36,224,71
ai podcast maker,0%,96,13,234,8
bbc sports,6%,106,13,207,13
freaky gram,7%,26,13,55,30
wqad news 8 quad cities,6%,76,13,242,3
fox4 dallas,7%,119,13,201,14
free social apps,5%,66,13,236,86
newsela,200%,1072,29,14,7
fresh air podcast,0%,70,13,196,22
local crime,6%,88,13,179,49
the economist podcast,6%,81,13,187,23
news explorer,6%,39,13,200,25
frontline wildfire tracker,160%,676,27,203,6
nyt connections game,200%,816,28,213,30
todayistheday,158%,4780,42,96,4
to chat,52%,731,28,199,43
kxan news,114%,393,20,245,6
today is the day,97%,4218,40,119,20
