Keyword,Growth (Max Reach),Max. Reach,Volume,No. of results,Difficulty
the open championship,292%,2028,54,213,3
open championship,"6,400%",2788,54,213,2
open golf,32%,186,34,209,5
claro sports,59%,1279,30,221,23
nfl one pass,13%,151,24,132,20
la liga fantasy,20%,186,22,181,1
columbus blue jackets,0%,56,21,130,0
livematch,0%,56,21,229,4
guillotine fantasy football,686%,698,30,151,6
daft kings,22%,174,19,155,49
nfl onepass,355%,,33,135,20
live stream football,15%,110,19,219,25
fantasy football draft kit,364%,658,30,151,3
sky sports football,12%,,18,202,14
tampa bay lightning,8%,44,18,134,0
draft sharks,9%,91,18,137,6
live football hd,13%,58,18,211,27
fantasy football cheatsheet,10%,117,18,165,1
pga tour live,9%,93,17,204,18
sleeper app,9%,73,17,225,31
nba g league,11%,190,17,178,38
nba summer,10%,206,16,166,28
michigan athletics mobile app,8%,135,16,205,0
football live stream,10%,189,16,213,26
live sport tv,10%,58,16,223,33
topps total football,10%,133,16,192,9
bet rivers casino pa,8%,192,16,229,45
mlb draft,0%,36,16,159,9
bet88u,10%,57,16,202,35
pa bet,0%,36,16,183,35
soccer bets,12%,89,16,198,34
fantasy premier league,300%,703,29,148,6
on3 app,295%,1883,32,197,11
oncourse,300%,292,25,155,34
drogontv,9%,58,15,236,44
the golf channel,7%,58,15,201,3
cbs fantasy,8%,64,15,181,14
premier league fantasy football,214%,327,23,114,7
ted lasso,8%,49,15,229,49
scanbizcards,7%,90,14,226,3
teamates,0%,98,14,234,4
select events basketball,150%,782,30,206,1
card shark collection,7%,42,14,232,13
football fantasy,8%,,14,171,8
group app,6%,115,14,173,41
topps baseball,0%,53,14,173,37
watch football live,8%,210,14,211,29
live football tv free,7%,117,14,219,34
dza,8%,87,14,121,21
فانتازي,7%,36,14,218,0
