Keyword,Growth (Max Reach),Max. Reach,Volume,No. of results,Difficulty
grok 4,"5,026%",13585,54,189,88
photo clearer,"3,717%",,45,234,48
tele tv,61%,326,30,225,27
dvpn,"1,417%",2257,38,233,17
slidebox photo cleaner,"1,622%",2644,36,223,14
تحديث pubg موبايل,27%,444,23,33,50
anti virus for iphone,18%,301,22,212,20
private browser downloader,289%,5531,44,146,42
roky remote control fo tv roku,15%,153,21,211,50
تحديث ال pubg,17%,314,21,38,39
photo cleaner swipick,15%,65,19,231,4
picture clearer,14%,164,19,156,16
vpn llc us,0%,43,18,217,61
دانلود برنامه دیوار,12%,192,18,32,9
viruses,10%,63,18,156,33
همراه بانک سپه,484%,5752,45,5,50
secure private browser,417%,1963,38,205,31
phone gaurdian,10%,48,18,231,14
همراه بانک سپه ایفون,484%,2269,38,7,32
free ios vpn,10%,60,17,228,58
the storage app,0%,36,16,232,47
private web browser,239%,20036,51,163,31
prime tv remote,8%,61,16,229,59
free roku tv remote,10%,124,16,226,39
pocket tv,10%,78,16,219,51
地球online,50%,104,16,33,22
phone check,8%,46,15,222,0
pro tv,8%,106,15,227,37
tv smart player free,300%,1217,30,237,19
roku onn tv remote control free,7%,140,15,235,36
همراه بانک شهر پلاس,7%,67,15,4,75
iphone free vpn,8%,135,15,230,68
ruku tv remote free,159%,4814,42,236,46
spam block,8%,49,15,206,17
بام ملی,8%,86,15,77,29
free clear app,8%,66,14,242,61
samsung tv remote control,7%,128,14,215,29
تنظيف,6%,49,14,238,34
secure web,7%,62,14,212,11
any tv,8%,,14,227,31
junk cleaner,6%,85,14,232,36
охлаждение телефона,211%,488,26,36,20
my com,0%,28,14,218,6
this american life,0%,164,14,31,0
will sub plus,6%,32,14,25,0
controllers,7%,112,14,220,39
free mexico vpn,6%,46,14,218,57
roku remote tv,0%,29,14,219,30
controle remoto,0%,167,14,233,45
progresse,6%,34,14,35,18
